Speed_km_h,Relative_Distance_m,Direction_deg,Brake_Turn_Status
26,118,48,none_next_brake_self
43,1,-45,brake_next_turn_self
41,10,-13,none_next_brake_self
22,32,42,none_none
47,85,49,none_none
52,113,1,none_next_brake_self
67,58,11,none_none
66,77,25,none_none
20,24,40,brake_next_brake_self
25,102,-45,none_next_brake_self
51,123,37,none_none
51,34,-2,none_next_turn_self
51,63,-6,none_none
255,11,-9,none_next_turn_self
52,71,1,none_none
69,64,53,brake_next_brake_self
63,18,6,none_next_turn_self
54,56,54,brake_next_brake_self
34,42,-38,brake_next_turn_self
57,66,27,none_next_brake_self
27,74,37,brake_next_turn_self
35,1,21,none_none
31,97,13,none_none
41,91,8,none_next_brake_self
123,47,43,none_none
16,7,39,none_next_turn_self
55,96,-45,none_none
18,121,42,none_none
31,30,-10,brake_next_brake_self
67,41,-30,none_none
41,23,44,none_none
23,73,-8,none_next_turn_self
28,20,37,none_none
55,45,-28,none_none
28,89,-60,none_next_turn_self
44,71,-1,none_none
40,49,-48,none_none
29,53,31,none_next_brake_self
113,71,-27,none_next_brake_self
54,1,-7,brake_next_turn_self
14,10,-50,none_none
43,112,-26,none_none
29,10,34,brake_next_brake_self
60,90,-42,none_none
27,117,18,none_none
37,34,50,none_none
51,47,22,brake_next_brake_self
60,72,37,none_next_turn_self
22,112,-47,none_none
34,120,-30,none_next_turn_self
31,94,47,none_none
29,11,26,none_none
94,85,17,none_next_brake_self
48,52,20,none_none
21,60,-10,brake_next_turn_self
62,6,-55,none_next_brake_self
112,24,34,brake_next_brake_self
66,100,21,none_next_brake_self
19,58,-3,none_next_brake_self
31,38,48,none_none
73,49,-20,none_none
28,109,-25,none_next_brake_self
49,95,45,none_none
58,35,36,brake_next_brake_self
25,15,2,brake_next_turn_self
38,32,-44,none_none
8,117,-34,none_none
24,74,19,none_none
35,68,-14,none_next_brake_self
21,76,40,none_none
88,46,54,none_none
19,103,37,none_none
32,66,-15,brake_next_turn_self
42,15,35,none_next_turn_self
80,16,-18,none_none
19,68,-40,none_none
70,119,-56,brake_next_turn_self
40,39,-14,none_next_turn_self
24,110,48,none_next_brake_self
50,97,-31,none_next_turn_self
44,31,-35,none_next_brake_self
29,5,56,brake_next_brake_self
41,13,-57,none_next_turn_self
33,93,34,none_next_brake_self
42,25,-21,brake_next_turn_self
55,47,-56,none_next_brake_self
86,64,50,brake_next_brake_self
21,92,-43,none_none
112,14,6,none_next_turn_self
15,52,-27,none_none
37,62,-52,none_next_brake_self
53,69,-54,none_none
45,104,-46,none_next_turn_self
29,22,-51,none_next_turn_self
36,103,31,none_next_turn_self
31,88,-2,none_none
30,71,-19,none_next_turn_self
60,89,-10,none_next_brake_self
47,52,51,brake_next_brake_self
28,18,49,none_none
61,85,26,none_next_turn_self
46,67,46,brake_next_brake_self
59,81,-22,none_next_brake_self
54,43,-14,none_next_turn_self
26,115,14,none_none
30,75,15,brake_next_brake_self
57,11,-2,none_next_brake_self
53,57,-12,none_none
39,96,58,none_none
42,101,39,none_next_brake_self
74,63,-8,none_none
30,114,27,none_next_turn_self
52,34,-28,none_next_turn_self
36,52,-48,none_none
35,114,-18,none_none
68,114,-12,none_next_brake_self
59,87,-58,brake_next_brake_self
59,109,38,none_next_brake_self
75,11,-17,brake_next_brake_self
40,110,10,brake_next_brake_self
55,41,-51,none_next_brake_self
34,23,-39,none_none
46,30,47,none_none
37,53,13,none_next_turn_self
41,32,54,none_next_turn_self
53,41,60,brake_next_brake_self
26,17,-15,brake_next_turn_self
110,38,-24,brake_next_brake_self
24,73,43,none_none
22,56,60,brake_next_brake_self
70,44,16,none_none
58,95,35,none_none
54,113,34,none_next_brake_self
54,96,-17,brake_next_turn_self
39,42,9,none_none
25,95,40,none_none
41,19,23,none_none
28,17,-57,none_next_brake_self
64,44,-20,none_next_turn_self
37,103,-43,none_next_brake_self
26,31,-32,none_none
34,8,49,none_none
48,17,-56,none_none
30,109,-34,none_next_brake_self
26,80,-23,none_none
45,32,14,none_next_brake_self
45,71,4,brake_next_brake_self
31,67,-34,none_next_brake_self
31,83,-40,none_none
44,30,-32,none_none
19,110,0,brake_next_brake_self
20,39,-27,none_none
28,88,54,none_next_brake_self
36,2,-4,none_next_brake_self
46,47,-53,none_next_brake_self
81,45,28,none_next_turn_self
60,69,-21,none_next_turn_self
37,9,18,none_next_turn_self
39,100,-26,none_none
24,28,8,none_next_brake_self
39,86,33,none_none
34,102,51,brake_next_turn_self
46,71,-29,none_none
26,94,-20,none_none
51,84,-4,none_none
84,45,51,none_next_turn_self
37,103,48,none_none
48,37,-49,brake_next_brake_self
55,73,-44,none_none
32,95,-1,brake_next_brake_self
44,48,-47,brake_next_brake_self
40,38,-19,none_next_turn_self
41,58,-42,none_none
27,104,16,brake_next_brake_self
40,118,54,none_none
50,69,60,none_none
80,84,-15,none_none
63,115,12,none_next_turn_self
113,13,43,none_none
27,29,-46,none_next_brake_self
61,90,23,none_next_turn_self
43,105,-11,none_none
115,109,-35,none_none
27,53,-12,none_none
26,11,-51,none_next_brake_self
29,56,23,none_next_brake_self
14,29,-30,none_next_brake_self
30,37,-23,none_next_brake_self
27,98,-45,none_next_brake_self
43,10,44,none_next_brake_self
47,105,-1,none_none
99,54,9,none_none
63,76,8,none_none
30,11,-11,none_none
25,43,-37,brake_next_brake_self
50,11,29,brake_next_brake_self
21,122,-45,none_none
97,103,-48,none_next_turn_self
70,58,25,none_next_turn_self
31,28,-35,brake_next_brake_self
17,119,-23,none_next_brake_self
77,44,-3,none_none
37,20,-6,none_none
72,72,25,none_none
18,120,15,none_next_turn_self
29,0,17,none_next_turn_self
40,30,26,none_none
40,119,-25,none_next_turn_self
32,22,-21,none_next_turn_self
54,14,-7,none_none
23,72,-23,none_none
37,109,58,none_none
42,61,38,brake_next_turn_self
51,126,-40,none_next_turn_self
56,86,-59,none_none
23,9,-55,brake_next_brake_self
18,126,-31,none_none
74,52,-46,brake_next_turn_self
47,37,4,none_none
27,71,43,none_none
84,39,28,brake_next_turn_self
42,11,-34,none_next_turn_self
70,0,-12,none_none
41,57,1,none_none
108,106,37,none_next_brake_self
93,73,41,none_none
35,127,49,none_next_turn_self
64,36,1,none_next_turn_self
54,36,23,brake_next_brake_self
77,20,-47,none_none
25,21,8,brake_next_turn_self
55,36,-30,none_next_turn_self
66,101,-8,none_none
17,115,16,brake_next_turn_self
22,124,-29,none_next_turn_self
14,30,-54,none_next_brake_self
35,112,-59,none_none
56,42,-57,none_next_turn_self
82,14,-59,none_none
41,110,-47,none_none
88,81,-31,none_none
20,21,-33,none_none
17,55,58,none_next_turn_self
38,36,-23,none_next_brake_self
48,94,-45,none_none
39,58,5,none_none
14,126,43,none_next_brake_self
38,7,21,none_next_brake_self
21,45,-24,none_next_brake_self
55,61,7,none_next_brake_self
47,64,26,brake_next_brake_self
25,40,27,none_next_turn_self
31,93,20,none_next_turn_self
23,111,44,none_next_turn_self
38,119,44,none_next_brake_self
63,102,9,none_none
24,108,-8,none_none
51,70,17,none_none
30,105,38,none_next_turn_self
27,39,-59,brake_next_brake_self
37,51,59,none_none
24,40,-38,none_none
30,59,-4,none_next_brake_self
22,36,45,brake_next_brake_self
103,122,-33,brake_next_brake_self
40,40,-3,brake_next_turn_self
28,12,-44,brake_next_brake_self
44,67,-13,none_none
37,7,-39,none_next_turn_self
35,14,-16,none_none
53,28,-15,none_none
57,59,59,none_none
30,55,59,none_none
30,102,-46,none_none
35,94,27,none_next_brake_self
13,54,-54,none_none
19,42,-56,none_none
77,40,-47,brake_next_brake_self
88,98,56,none_none
35,7,53,none_none
52,2,-37,none_none
46,101,-41,none_next_brake_self
178,61,-31,none_next_turn_self
68,17,2,brake_next_brake_self
37,30,8,none_next_brake_self
25,118,-33,brake_next_brake_self
18,109,31,none_next_turn_self
44,90,-23,none_none
27,61,51,brake_next_turn_self
20,66,19,none_next_turn_self
29,124,-8,brake_next_turn_self
23,123,35,brake_next_brake_self
90,27,38,none_next_turn_self
61,103,-25,brake_next_brake_self
39,25,-19,none_next_turn_self
82,27,52,brake_next_brake_self
41,86,-40,brake_next_brake_self
26,51,-55,none_next_turn_self
83,118,-6,none_none
51,11,36,brake_next_brake_self
24,65,33,none_next_turn_self
36,117,50,none_none
26,115,4,none_none
20,20,-48,brake_next_brake_self
62,47,11,none_none
101,79,33,none_none
20,20,-49,brake_next_brake_self
52,123,-39,none_none
29,116,-59,none_none
31,21,11,none_none
30,15,46,none_none
26,11,20,none_none
40,115,58,none_none
26,25,-52,none_none
45,53,48,none_none
39,57,38,none_none
35,76,-22,none_next_brake_self
25,9,57,none_next_brake_self
30,29,-25,none_none
57,118,47,brake_next_brake_self
51,115,46,none_none
24,99,31,none_none
41,2,8,none_none
57,42,-46,none_none
17,80,4,none_none
52,35,-17,brake_next_brake_self
28,116,35,none_none
52,81,31,none_next_brake_self
27,9,49,none_next_brake_self
16,115,-58,none_next_brake_self
18,122,37,none_next_brake_self
40,10,53,none_next_brake_self
45,68,35,none_next_brake_self
25,39,-44,none_none
54,50,-50,none_none
17,23,-57,none_next_brake_self
38,73,15,brake_next_turn_self
22,122,16,none_none
29,64,58,none_none
40,11,-12,none_none
26,79,-20,brake_next_brake_self
33,43,15,none_none
65,109,39,none_next_turn_self
30,55,52,none_none
60,24,36,brake_next_brake_self
23,24,-9,none_next_brake_self
51,98,16,none_next_brake_self
80,34,43,none_next_brake_self
12,97,-1,none_next_turn_self
27,26,-34,none_none
52,41,-40,none_none
36,59,-60,none_none
47,120,26,none_next_turn_self
29,118,-47,none_next_brake_self
41,26,-31,none_none
37,45,-24,none_next_turn_self
70,19,7,none_next_brake_self
45,65,-12,none_next_brake_self
47,58,21,none_none
32,114,-53,none_next_turn_self
31,118,-45,brake_next_brake_self
32,49,0,none_none
48,62,-20,none_none
32,114,-25,none_none
46,102,-52,brake_next_brake_self
109,0,47,none_next_brake_self
61,41,23,none_none
34,54,-45,none_none
71,29,-52,none_next_brake_self
32,25,57,brake_next_turn_self
14,5,22,none_next_brake_self
24,82,-10,none_next_brake_self
16,33,24,none_none
33,7,31,none_none
40,29,34,none_next_brake_self
90,102,-3,brake_next_brake_self
46,108,-8,none_none
35,61,-59,brake_next_brake_self
59,53,51,none_none
13,124,12,none_none
44,25,-36,none_none
58,27,50,brake_next_turn_self
19,37,50,brake_next_brake_self
69,22,59,none_next_turn_self
47,48,45,none_next_brake_self
32,116,60,none_next_brake_self
54,78,-31,none_none
120,52,41,none_none
43,119,39,none_none
45,6,-32,brake_next_turn_self
32,27,-48,none_none
26,72,58,none_none
59,78,-24,none_next_brake_self
26,5,45,none_none
41,51,-60,brake_next_turn_self
31,82,-57,none_next_brake_self
50,89,-4,brake_next_brake_self
47,81,-31,none_none
66,41,23,none_none
31,12,8,none_next_brake_self
35,54,-51,brake_next_turn_self
24,16,-40,brake_next_brake_self
32,120,-13,brake_next_turn_self
48,60,-38,none_next_brake_self
57,40,35,none_next_brake_self
25,97,-10,none_next_brake_self
61,63,-49,none_none
77,39,-2,none_next_turn_self
48,103,-49,none_none
99,110,-45,brake_next_brake_self
27,85,-31,none_next_brake_self
21,6,43,none_next_turn_self
16,72,51,brake_next_turn_self
82,97,39,brake_next_brake_self
54,17,-20,none_none
38,29,-27,none_none
45,112,6,brake_next_brake_self
23,3,27,none_next_brake_self
131,96,59,none_none
42,60,-44,brake_next_brake_self
42,57,-54,none_none
56,1,23,none_none
50,104,40,none_none
44,46,42,none_next_turn_self
27,69,21,brake_next_turn_self
50,86,54,brake_next_turn_self
99,89,1,none_none
76,121,50,none_none
86,67,56,none_none
31,51,42,none_none
24,121,-23,none_none
37,82,-36,none_none
41,38,6,none_none
68,16,-6,none_none
17,107,45,none_next_turn_self
84,46,-48,none_next_brake_self
37,84,-29,none_none
32,60,30,none_next_turn_self
24,25,-49,none_next_brake_self
17,76,-22,none_none
59,8,-14,none_none
41,52,15,none_none
21,69,-41,brake_next_turn_self
21,55,43,none_none
33,95,-6,none_next_brake_self
89,105,50,none_none
35,98,-4,brake_next_brake_self
19,5,-27,none_none
35,25,-43,none_none
35,68,-60,none_next_brake_self
10,119,4,none_none
38,106,-47,none_none
35,107,-13,none_next_brake_self
56,39,11,brake_next_brake_self
98,55,-27,none_next_brake_self
69,60,-39,none_next_brake_self
35,20,33,none_none
23,4,54,none_none
139,120,-48,brake_next_brake_self
41,31,-41,none_next_turn_self
40,30,55,none_next_turn_self
39,11,-55,brake_next_brake_self
44,118,57,none_next_brake_self
37,74,-59,none_next_brake_self
30,85,45,none_next_turn_self
30,116,-23,none_none
39,44,53,none_none
30,79,-22,brake_next_brake_self
28,5,19,none_none
42,24,-50,none_none
35,106,-31,none_none
83,97,33,none_next_brake_self
11,45,3,none_none
67,48,51,none_none
73,68,-9,none_next_brake_self
14,0,44,none_next_brake_self
33,31,-6,none_none
33,26,58,none_none
20,32,55,none_none
27,102,-21,none_none
23,36,46,none_none
93,24,42,brake_next_brake_self
62,64,-35,none_next_brake_self
74,110,15,none_none
56,31,-51,none_next_brake_self
23,10,40,brake_next_brake_self
31,45,-39,none_none
50,95,-52,none_none
22,70,-12,none_next_brake_self
56,104,9,none_next_brake_self
35,122,43,none_next_brake_self
33,101,57,brake_next_brake_self
56,77,-7,none_none
49,63,-53,none_next_brake_self
33,5,30,none_none
70,125,8,none_none
23,49,-6,none_none
53,19,-23,none_next_brake_self
53,85,0,none_next_turn_self
34,36,-19,none_next_brake_self
46,74,31,none_next_brake_self
21,75,5,none_none
62,57,45,none_next_turn_self
36,106,5,none_none
31,34,-31,brake_next_brake_self
66,57,42,brake_next_brake_self
28,68,7,none_none
20,84,-35,none_next_turn_self
18,100,15,none_next_turn_self
53,50,-17,none_next_turn_self
21,82,41,brake_next_turn_self
93,19,-6,none_none
14,118,27,brake_next_brake_self
91,49,-49,none_next_turn_self
44,93,-12,none_next_turn_self
38,3,58,none_none
30,26,37,none_next_turn_self
48,62,-41,brake_next_brake_self
39,112,-27,none_next_turn_self
68,67,-20,brake_next_brake_self
42,118,18,brake_next_turn_self
43,61,31,brake_next_brake_self
33,62,30,none_next_turn_self
38,15,1,brake_next_brake_self
46,102,37,none_next_brake_self
17,31,-8,none_none
20,114,-45,none_none
57,116,8,brake_next_brake_self
43,120,54,none_next_brake_self
36,66,35,none_none
40,86,9,none_none
47,99,18,brake_next_brake_self
30,17,52,none_none
27,76,-9,none_next_turn_self
43,4,-20,none_next_turn_self
24,63,57,none_none
48,20,44,none_none
17,23,-21,none_none
65,46,-4,none_next_brake_self
50,55,-10,none_next_turn_self
45,79,-42,none_none
64,9,55,none_next_brake_self
89,64,-11,none_next_turn_self
65,23,45,none_next_brake_self
16,73,-37,brake_next_brake_self
21,81,6,none_next_brake_self
29,71,-57,none_none
40,94,32,none_none
51,43,10,none_next_brake_self
28,97,15,none_none
43,55,-54,brake_next_brake_self
27,61,-35,none_none
29,82,-51,none_next_turn_self
20,2,-25,none_none
25,83,15,none_none
20,79,8,none_next_brake_self
24,39,13,none_next_turn_self
66,11,6,none_none
25,12,-27,brake_next_brake_self
143,117,-31,none_none
50,88,-44,none_none
43,16,42,none_next_brake_self
26,45,14,none_none
56,75,-38,none_none
30,106,-39,none_none
42,6,45,none_next_brake_self
138,30,29,none_next_brake_self
38,113,19,brake_next_brake_self
69,1,-11,none_none
28,26,-29,none_none
39,122,58,none_none
94,78,36,none_next_brake_self
29,33,-24,brake_next_brake_self
96,9,42,none_none
56,4,31,none_none
30,31,-24,none_none
54,112,-9,none_none
64,53,-38,none_none
54,91,-47,none_none
18,117,27,none_none
28,52,-28,none_next_brake_self
35,24,38,none_none
38,66,59,none_none
54,115,-51,none_next_brake_self
43,102,-3,brake_next_brake_self
20,8,36,none_next_brake_self
48,88,35,none_next_turn_self
53,73,31,none_next_brake_self
52,115,-18,none_next_brake_self
67,16,-6,none_next_turn_self
59,68,11,brake_next_turn_self
49,112,57,none_none
38,52,-21,none_next_turn_self
17,61,51,none_next_turn_self
49,9,-28,brake_next_brake_self
44,35,59,none_next_brake_self
45,41,20,none_next_brake_self
21,120,-4,none_none
23,36,14,none_none
66,59,-27,none_next_brake_self
39,85,-27,none_none
55,21,-46,none_next_brake_self
40,62,-46,none_none
40,94,-18,none_none
63,110,32,none_next_turn_self
31,80,13,none_none
41,85,-48,none_none
31,16,42,none_none
32,120,12,none_none
34,17,55,none_none
44,98,20,none_none
31,34,-39,none_none
73,119,-3,none_none
25,91,18,none_none
36,96,-57,none_none
32,28,-58,none_next_brake_self
80,56,-44,none_next_brake_self
44,78,-30,brake_next_brake_self
66,98,-8,none_next_turn_self
19,13,-2,none_next_brake_self
45,122,-43,none_none
61,113,21,none_none
41,34,12,none_none
67,104,-25,none_next_brake_self
31,66,-58,none_none
79,59,-51,none_none
122,40,-13,none_none
33,74,-42,none_next_brake_self
32,93,-15,none_next_turn_self
80,52,15,none_none
86,80,6,none_next_turn_self
31,89,-32,none_none
32,90,-19,none_none
34,7,14,none_none
20,109,43,none_none
25,58,30,none_none
24,33,6,none_none
27,31,-17,none_next_brake_self
39,61,-16,none_next_brake_self
44,113,46,none_next_brake_self
84,48,-55,brake_next_brake_self
24,95,59,brake_next_turn_self
64,12,20,brake_next_brake_self
36,60,22,none_none
39,126,-55,none_next_brake_self
55,98,13,none_next_brake_self
23,27,-2,none_none
48,64,-47,none_none
43,30,-27,none_none
50,52,47,none_none
46,99,6,none_next_brake_self
131,98,-10,none_next_brake_self
29,29,-51,none_next_brake_self
30,117,26,brake_next_turn_self
29,75,24,none_next_brake_self
30,48,14,none_none
29,64,1,brake_next_brake_self
71,77,-8,brake_next_turn_self
79,71,11,brake_next_turn_self
30,62,-32,none_none
26,64,53,none_next_brake_self
50,22,11,none_next_brake_self
30,103,-23,brake_next_brake_self
54,69,-6,none_next_brake_self
44,17,37,brake_next_brake_self
19,97,-41,none_next_turn_self
84,118,-25,brake_next_brake_self
95,120,22,none_none
29,47,-22,none_next_turn_self
33,17,35,none_none
45,66,-44,none_next_brake_self
47,14,32,none_next_brake_self
55,119,-52,brake_next_brake_self
106,23,-58,none_next_turn_self
36,32,48,none_next_turn_self
27,52,10,none_next_brake_self
20,49,-18,none_none
28,101,-32,none_none
39,58,14,none_none
95,22,1,brake_next_brake_self
31,34,59,none_none
44,65,58,brake_next_brake_self
39,19,16,none_none
71,78,-7,none_next_brake_self
136,72,-1,brake_next_brake_self
30,91,22,none_none
31,119,-48,none_none
66,116,-21,none_next_brake_self
55,120,-51,brake_next_brake_self
98,31,-51,none_next_turn_self
53,17,-36,none_none
33,38,-2,none_none
53,114,34,none_none
68,123,-2,brake_next_brake_self
59,109,-20,none_next_turn_self
51,14,-50,none_none
67,120,6,none_next_turn_self
70,54,-27,brake_next_brake_self
78,1,14,none_next_turn_self
54,56,57,none_none
36,6,-47,none_none
42,69,-35,none_none
71,43,-3,none_none
26,60,56,none_none
47,78,33,brake_next_turn_self
33,110,48,none_next_brake_self
40,84,-20,none_none
74,55,59,none_none
43,104,-48,brake_next_brake_self
40,115,-54,none_next_turn_self
20,15,43,none_next_brake_self
57,68,51,none_next_brake_self
54,36,-49,none_next_turn_self
114,6,-46,none_none
34,85,-56,brake_next_brake_self
44,110,-47,none_none
45,21,-35,none_none
86,103,56,none_none
38,108,20,brake_next_turn_self
45,116,33,none_none
53,34,33,none_next_brake_self
43,115,4,none_next_brake_self
32,41,36,none_next_turn_self
43,70,11,none_none
67,6,-22,brake_next_brake_self
24,6,7,none_none
42,91,4,none_none
28,56,39,none_none
71,33,58,none_none
19,24,-11,none_next_brake_self
30,85,32,none_none
48,0,-48,none_next_brake_self
85,102,33,none_none
38,10,-15,brake_next_turn_self
30,24,-55,none_next_brake_self
99,49,-16,none_next_turn_self
19,62,13,none_next_brake_self
13,45,-46,none_next_brake_self
49,41,51,none_next_turn_self
31,122,-51,none_none
24,81,52,none_next_turn_self
56,3,25,none_next_brake_self
45,55,-20,none_next_brake_self
30,111,-13,none_next_brake_self
21,38,29,none_next_turn_self
61,12,12,none_none
54,96,21,brake_next_brake_self
38,77,-13,none_next_brake_self
98,72,-1,none_next_brake_self
23,7,59,none_next_brake_self
19,18,-34,none_next_brake_self
28,79,-10,none_none
39,26,-25,none_next_brake_self
45,64,32,none_next_turn_self
35,69,32,none_none
47,36,-25,none_next_brake_self
21,120,-50,none_none
80,107,-59,none_next_turn_self
38,92,-9,none_next_brake_self
68,10,-11,none_none
47,13,59,none_next_brake_self
49,63,-4,none_none
52,20,-29,none_next_turn_self
49,124,47,none_none
54,20,-1,none_none
76,62,12,none_none
44,46,-49,none_none
56,81,-14,none_none
38,16,53,none_next_brake_self
80,55,11,none_next_turn_self
28,35,-19,brake_next_brake_self
95,113,15,brake_next_brake_self
39,5,49,none_none
19,116,-27,brake_next_brake_self
42,106,1,brake_next_turn_self
28,38,55,none_none
60,100,-39,brake_next_brake_self
29,4,26,none_next_brake_self
32,123,14,none_next_turn_self
15,67,22,none_none
32,39,-18,none_none
12,46,-22,none_next_turn_self
18,8,22,none_next_turn_self
57,126,-34,none_none
58,5,-10,none_next_turn_self
49,83,-37,none_none
25,56,-59,none_none
39,121,56,none_next_brake_self
39,31,-8,none_next_brake_self
22,68,56,brake_next_brake_self
82,61,-43,none_none
61,89,10,brake_next_brake_self
35,9,-36,none_next_turn_self
40,25,35,none_none
44,27,34,none_next_turn_self
14,94,-46,none_next_brake_self
35,24,49,none_none
28,73,-37,none_next_brake_self
24,27,14,none_none
34,109,58,none_none
95,120,46,brake_next_turn_self
54,66,55,none_none
30,45,-19,brake_next_turn_self
52,30,-47,none_none
78,6,-37,brake_next_brake_self
62,34,0,none_next_brake_self
41,83,35,brake_next_turn_self
29,68,-42,brake_next_brake_self
56,120,19,none_none
48,50,-21,none_none
61,88,-19,none_none
54,62,19,none_next_brake_self
66,65,-4,none_next_brake_self
30,34,37,none_none
75,58,-41,none_next_brake_self
44,60,35,none_none
109,90,-52,none_none
28,119,-37,brake_next_brake_self
92,42,19,none_none
44,5,43,none_none
29,63,-30,none_none
31,69,-21,brake_next_turn_self
34,21,4,none_next_brake_self
49,97,-35,none_next_brake_self
51,125,37,none_next_brake_self
30,120,33,none_next_brake_self
39,25,-43,none_none
113,111,-4,none_none
92,89,33,none_next_turn_self
49,58,-20,none_next_brake_self
40,69,16,none_none
